2019-09-03 09:17:29,286 |main                 |ContainerLoader               |I| [Startup] Loading containers...
2019-09-03 09:17:29,596 |main                 |ContainerLoader               |I| Loading container: component-container
2019-09-03 09:17:29,629 |main                 |ComponentContainer            |I| Auto-Loading component directory : [/home/sudhir/Documents/patanjali-nepal/framework]
2019-09-03 09:17:29,672 |main                 |ComponentContainer            |I| Added class path for component : [base]
2019-09-03 09:17:29,705 |main                 |ComponentContainer            |I| Added class path for component : [entity]
2019-09-03 09:17:29,729 |main                 |ComponentContainer            |I| Added class path for component : [security]
2019-09-03 09:17:29,744 |main                 |ComponentContainer            |I| Added class path for component : [datafile]
2019-09-03 09:17:29,758 |main                 |ComponentContainer            |I| Added class path for component : [minilang]
2019-09-03 09:17:29,779 |main                 |ComponentContainer            |I| Added class path for component : [common]
2019-09-03 09:17:29,795 |main                 |ComponentContainer            |I| Added class path for component : [service]
2019-09-03 09:17:29,814 |main                 |ComponentContainer            |I| Added class path for component : [catalina]
2019-09-03 09:17:29,828 |main                 |ComponentContainer            |I| Added class path for component : [entityext]
2019-09-03 09:17:29,842 |main                 |ComponentContainer            |I| Added class path for component : [webapp]
2019-09-03 09:17:29,854 |main                 |ComponentContainer            |I| Added class path for component : [widget]
2019-09-03 09:17:29,867 |main                 |ComponentContainer            |I| Added class path for component : [testtools]
2019-09-03 09:17:29,886 |main                 |ComponentContainer            |I| Added class path for component : [webtools]
2019-09-03 09:17:29,886 |main                 |ComponentContainer            |I| Auto-Loading component directory : [/home/sudhir/Documents/patanjali-nepal/themes]
2019-09-03 09:17:29,951 |main                 |ComponentContainer            |I| Added class path for component : [bluelight]
2019-09-03 09:17:29,951 |main                 |ComponentContainer            |I| Added class path for component : [common-theme]
2019-09-03 09:17:29,951 |main                 |ComponentContainer            |I| Added class path for component : [flatgrey]
2019-09-03 09:17:29,951 |main                 |ComponentContainer            |I| Added class path for component : [rainbowstone]
2019-09-03 09:17:29,951 |main                 |ComponentContainer            |I| Added class path for component : [tomahawk]
2019-09-03 09:17:29,951 |main                 |ComponentContainer            |I| Auto-Loading component directory : [/home/sudhir/Documents/patanjali-nepal/applications]
2019-09-03 09:17:29,969 |main                 |ComponentContainer            |I| Added class path for component : [datamodel]
2019-09-03 09:17:29,981 |main                 |ComponentContainer            |I| Added class path for component : [party]
2019-09-03 09:17:29,991 |main                 |ComponentContainer            |I| Added class path for component : [securityext]
2019-09-03 09:17:30,021 |main                 |ComponentContainer            |I| Added class path for component : [content]
2019-09-03 09:17:30,039 |main                 |ComponentContainer            |I| Added class path for component : [workeffort]
2019-09-03 09:17:30,050 |main                 |ComponentContainer            |I| Added class path for component : [product]
2019-09-03 09:17:30,062 |main                 |ComponentContainer            |I| Added class path for component : [manufacturing]
2019-09-03 09:17:30,074 |main                 |ComponentContainer            |I| Added class path for component : [accounting]
2019-09-03 09:17:30,084 |main                 |ComponentContainer            |I| Added class path for component : [humanres]
2019-09-03 09:17:30,095 |main                 |ComponentContainer            |I| Added class path for component : [order]
2019-09-03 09:17:30,105 |main                 |ComponentContainer            |I| Added class path for component : [marketing]
2019-09-03 09:17:30,119 |main                 |ComponentContainer            |I| Added class path for component : [commonext]
2019-09-03 09:17:30,119 |main                 |ComponentContainer            |I| Auto-Loading component directory : [/home/sudhir/Documents/patanjali-nepal/plugins]
2019-09-03 09:17:30,148 |main                 |ComponentContainer            |W| Location '/home/sudhir/Documents/patanjali-nepal/plugins/accounts/dtd' does not exist
2019-09-03 09:17:30,148 |main                 |ComponentContainer            |I| Added class path for component : [accounts]
2019-09-03 09:17:30,148 |main                 |ComponentContainer            |I| Added class path for component : [patanjali]
2019-09-03 09:17:30,150 |main                 |ComponentContainer            |I| All components loaded
2019-09-03 09:17:30,150 |main                 |ContainerLoader               |I| Loaded container: component-container
2019-09-03 09:17:30,150 |main                 |ContainerLoader               |I| [Startup] Loading component containers...
2019-09-03 09:17:30,150 |main                 |ContainerLoader               |I| Loading container: delegator-container
2019-09-03 09:17:30,151 |main                 |ContainerLoader               |I| Loaded container: delegator-container
2019-09-03 09:17:30,151 |main                 |ContainerLoader               |I| Loading container: service-container
2019-09-03 09:17:30,154 |main                 |ContainerLoader               |I| Loaded container: service-container
2019-09-03 09:17:30,155 |main                 |ContainerLoader               |I| Loading container: catalina-container
2019-09-03 09:17:35,427 |main                 |CatalinaContainer             |I| Tomcat Connector[AJP/1.3-8009]: set scheme=http
2019-09-03 09:17:35,430 |main                 |CatalinaContainer             |I| Tomcat Connector[AJP/1.3-8009]: set secure=false
2019-09-03 09:17:35,569 |main                 |CatalinaContainer             |I| Tomcat Connector[AJP/1.3-8009]: set URIEncoding=UTF-8
2019-09-03 09:17:35,569 |main                 |CatalinaContainer             |I| Tomcat Connector[AJP/1.3-8009]: set xpoweredBy=false
2019-09-03 09:17:35,577 |main                 |CatalinaContainer             |I| Tomcat Connector[HTTP/1.1-8080]: enabled HTTP/2
2019-09-03 09:17:35,577 |main                 |CatalinaContainer             |I| Tomcat Connector[HTTP/1.1-8080]: set scheme=http
2019-09-03 09:17:35,578 |main                 |CatalinaContainer             |I| Tomcat Connector[HTTP/1.1-8080]: set secure=false
2019-09-03 09:17:35,578 |main                 |CatalinaContainer             |I| Tomcat Connector[HTTP/1.1-8080]: set URIEncoding=UTF-8
2019-09-03 09:17:35,578 |main                 |CatalinaContainer             |I| Tomcat Connector[HTTP/1.1-8080]: set xpoweredBy=false
2019-09-03 09:17:35,579 |main                 |CatalinaContainer             |I| Tomcat Connector[HTTP/1.1-8080]: set compression=on
2019-09-03 09:17:35,579 |main                 |CatalinaContainer             |I| Tomcat Connector[HTTP/1.1-8080]: set compressibleMimeType=text/html,text/xml,text/plain,text/css,application/javascript,application/json
2019-09-03 09:17:35,579 |main                 |CatalinaContainer             |I| Tomcat Connector[HTTP/1.1-8443]: enabled HTTP/2
2019-09-03 09:17:35,581 |main                 |CatalinaContainer             |I| Tomcat Connector[HTTP/1.1-8443]: set scheme=https
2019-09-03 09:17:35,582 |main                 |CatalinaContainer             |I| Tomcat Connector[HTTP/1.1-8443]: set secure=true
2019-09-03 09:17:35,582 |main                 |CatalinaContainer             |I| Tomcat Connector[HTTP/1.1-8443]: set SSLEnabled=true
2019-09-03 09:17:35,583 |main                 |CatalinaContainer             |I| Tomcat Connector[HTTP/1.1-8443]: set URIEncoding=UTF-8
