2019-08-26 09:36:00,656 |main                 |ContainerLoader               |I| [Startup] Loading containers...
2019-08-26 09:36:00,899 |main                 |ContainerLoader               |I| Loading container: component-container
2019-08-26 09:36:00,912 |main                 |ComponentContainer            |I| Auto-Loading component directory : [/home/sudhir/Documents/patanjali-nepal/framework]
2019-08-26 09:36:00,954 |main                 |ComponentContainer            |I| Added class path for component : [base]
2019-08-26 09:36:00,977 |main                 |ComponentContainer            |I| Added class path for component : [entity]
2019-08-26 09:36:00,998 |main                 |ComponentContainer            |I| Added class path for component : [security]
2019-08-26 09:36:01,017 |main                 |ComponentContainer            |I| Added class path for component : [datafile]
2019-08-26 09:36:01,035 |main                 |ComponentContainer            |I| Added class path for component : [minilang]
2019-08-26 09:36:01,079 |main                 |ComponentContainer            |I| Added class path for component : [common]
2019-08-26 09:36:01,100 |main                 |ComponentContainer            |I| Added class path for component : [service]
2019-08-26 09:36:01,124 |main                 |ComponentContainer            |I| Added class path for component : [catalina]
2019-08-26 09:36:01,138 |main                 |ComponentContainer            |I| Added class path for component : [entityext]
2019-08-26 09:36:01,154 |main                 |ComponentContainer            |I| Added class path for component : [webapp]
2019-08-26 09:36:01,199 |main                 |ComponentContainer            |I| Added class path for component : [widget]
2019-08-26 09:36:01,230 |main                 |ComponentContainer            |I| Added class path for component : [testtools]
2019-08-26 09:36:01,255 |main                 |ComponentContainer            |I| Added class path for component : [webtools]
2019-08-26 09:36:01,257 |main                 |ComponentContainer            |I| Auto-Loading component directory : [/home/sudhir/Documents/patanjali-nepal/themes]
2019-08-26 09:36:01,340 |main                 |ComponentContainer            |I| Added class path for component : [bluelight]
2019-08-26 09:36:01,341 |main                 |ComponentContainer            |I| Added class path for component : [common-theme]
2019-08-26 09:36:01,341 |main                 |ComponentContainer            |I| Added class path for component : [flatgrey]
2019-08-26 09:36:01,342 |main                 |ComponentContainer            |I| Added class path for component : [rainbowstone]
2019-08-26 09:36:01,342 |main                 |ComponentContainer            |I| Added class path for component : [tomahawk]
2019-08-26 09:36:01,342 |main                 |ComponentContainer            |I| Auto-Loading component directory : [/home/sudhir/Documents/patanjali-nepal/applications]
2019-08-26 09:36:01,365 |main                 |ComponentContainer            |I| Added class path for component : [datamodel]
2019-08-26 09:36:01,375 |main                 |ComponentContainer            |I| Added class path for component : [party]
2019-08-26 09:36:01,385 |main                 |ComponentContainer            |I| Added class path for component : [securityext]
2019-08-26 09:36:01,396 |main                 |ComponentContainer            |I| Added class path for component : [content]
2019-08-26 09:36:01,407 |main                 |ComponentContainer            |I| Added class path for component : [workeffort]
2019-08-26 09:36:01,418 |main                 |ComponentContainer            |I| Added class path for component : [product]
2019-08-26 09:36:01,429 |main                 |ComponentContainer            |I| Added class path for component : [manufacturing]
2019-08-26 09:36:01,443 |main                 |ComponentContainer            |I| Added class path for component : [accounting]
2019-08-26 09:36:01,453 |main                 |ComponentContainer            |I| Added class path for component : [humanres]
2019-08-26 09:36:01,464 |main                 |ComponentContainer            |I| Added class path for component : [order]
2019-08-26 09:36:01,475 |main                 |ComponentContainer            |I| Added class path for component : [marketing]
2019-08-26 09:36:01,485 |main                 |ComponentContainer            |I| Added class path for component : [commonext]
2019-08-26 09:36:01,486 |main                 |ComponentContainer            |I| Auto-Loading component directory : [/home/sudhir/Documents/patanjali-nepal/plugins]
2019-08-26 09:36:01,516 |main                 |ComponentContainer            |W| Location '/home/sudhir/Documents/patanjali-nepal/plugins/accounts/dtd' does not exist
2019-08-26 09:36:01,516 |main                 |ComponentContainer            |I| Added class path for component : [accounts]
2019-08-26 09:36:01,516 |main                 |ComponentContainer            |I| Added class path for component : [patanjali]
2019-08-26 09:36:01,525 |main                 |ComponentContainer            |I| All components loaded
2019-08-26 09:36:01,526 |main                 |ContainerLoader               |I| Loaded container: component-container
2019-08-26 09:36:01,534 |main                 |ContainerLoader               |I| [Startup] Loading component containers...
2019-08-26 09:36:01,535 |main                 |ContainerLoader               |I| Loading container: delegator-container
2019-08-26 09:36:01,545 |main                 |ContainerLoader               |I| Loaded container: delegator-container
2019-08-26 09:36:01,546 |main                 |ContainerLoader               |I| Loading container: service-container
2019-08-26 09:36:01,548 |main                 |ContainerLoader               |I| Loaded container: service-container
2019-08-26 09:36:01,548 |main                 |ContainerLoader               |I| Loading container: catalina-container
2019-08-26 09:36:06,725 |main                 |CatalinaContainer             |I| Tomcat Connector[AJP/1.3-8009]: set scheme=http
2019-08-26 09:36:06,731 |main                 |CatalinaContainer             |I| Tomcat Connector[AJP/1.3-8009]: set secure=false
2019-08-26 09:36:06,878 |main                 |CatalinaContainer             |I| Tomcat Connector[AJP/1.3-8009]: set URIEncoding=UTF-8
2019-08-26 09:36:06,879 |main                 |CatalinaContainer             |I| Tomcat Connector[AJP/1.3-8009]: set xpoweredBy=false
2019-08-26 09:36:06,886 |main                 |CatalinaContainer             |I| Tomcat Connector[HTTP/1.1-8080]: enabled HTTP/2
2019-08-26 09:36:06,887 |main                 |CatalinaContainer             |I| Tomcat Connector[HTTP/1.1-8080]: set scheme=http
2019-08-26 09:36:06,887 |main                 |CatalinaContainer             |I| Tomcat Connector[HTTP/1.1-8080]: set secure=false
2019-08-26 09:36:06,887 |main                 |CatalinaContainer             |I| Tomcat Connector[HTTP/1.1-8080]: set URIEncoding=UTF-8
2019-08-26 09:36:06,887 |main                 |CatalinaContainer             |I| Tomcat Connector[HTTP/1.1-8080]: set xpoweredBy=false
2019-08-26 09:36:06,888 |main                 |CatalinaContainer             |I| Tomcat Connector[HTTP/1.1-8080]: set compression=on
2019-08-26 09:36:06,888 |main                 |CatalinaContainer             |I| Tomcat Connector[HTTP/1.1-8080]: set compressibleMimeType=text/html,text/xml,text/plain,text/css,application/javascript,application/json
2019-08-26 09:36:06,888 |main                 |CatalinaContainer             |I| Tomcat Connector[HTTP/1.1-8443]: enabled HTTP/2
2019-08-26 09:36:06,888 |main                 |CatalinaContainer             |I| Tomcat Connector[HTTP/1.1-8443]: set scheme=https
2019-08-26 09:36:06,889 |main                 |CatalinaContainer             |I| Tomcat Connector[HTTP/1.1-8443]: set secure=true
2019-08-26 09:36:06,889 |main                 |CatalinaContainer             |I| Tomcat Connector[HTTP/1.1-8443]: set SSLEnabled=true
2019-08-26 09:36:06,889 |main                 |CatalinaContainer             |I| Tomcat Connector[HTTP/1.1-8443]: set URIEncoding=UTF-8
2019-08-26 09:36:06,889 |main                 |CatalinaContainer             |I| Tomcat Connector[HTTP/1.1-8443]: set xpoweredBy=false
2019-08-26 09:36:06,891 |main                 |CatalinaContainer             |I| Tomcat Connector[HTTP/1.1-8443]: set compression=on
2019-08-26 09:36:06,891 |main                 |CatalinaContainer             |I| Tomcat Connector[HTTP/1.1-8443]: set compressibleMimeType=text/html,text/xml,text/plain,text/css,application/javascript,application/json
2019-08-26 09:36:06,891 |main                 |CatalinaContainer             |I| Tomcat Connector[HTTP/1.1-8443]: set sslImplementationName=org.apache.tomcat.util.net.jsse.JSSEImplementation
2019-08-26 09:36:06,893 |main                 |CatalinaContainer             |I| Tomcat Connector[HTTP/1.1-8443]: set algorithm=SunX509
2019-08-26 09:36:06,895 |main                 |CatalinaContainer             |I| Tomcat Connector[HTTP/1.1-8443]: set keystoreFile=framework/base/config/ofbizssl.jks
2019-08-26 09:36:06,896 |main                 |CatalinaContainer             |I| Tomcat Connector[HTTP/1.1-8443]: set keystoreType=JKS
2019-08-26 09:36:06,896 |main                 |CatalinaContainer             |I| Tomcat Connector[HTTP/1.1-8443]: set keyAlias=ofbiz
2019-08-26 09:36:06,897 |main                 |CatalinaContainer             |I| Tomcat Connector[HTTP/1.1-8443]: set keyPass
2019-08-26 09:36:06,915 |main                 |CatalinaContainer             |I| Creating context [PatanjaliWeb]
2019-08-26 09:36:06,916 |main                 |CatalinaContainer             |I| Creating context [accounts]
2019-08-26 09:36:06,916 |main                 |CatalinaContainer             |I| Creating context [ordermgr-js]
2019-08-26 09:36:06,916 |main                 |CatalinaContainer             |I| Creating context [ofbizsetup]
2019-08-26 09:36:06,916 |main                 |CatalinaContainer             |I| Creating context [SalesForceAutomation]
2019-08-26 09:36:06,916 |main                 |CatalinaContainer             |I| Creating context [marketing]
2019-08-26 09:36:06,916 |main                 |CatalinaContainer             |I| Creating context [order]
2019-08-26 09:36:06,916 |main                 |CatalinaContainer             |I| Creating context [humanres]
2019-08-26 09:36:06,917 |main                 |CatalinaContainer             |I| Creating context [ap]
2019-08-26 09:36:06,917 |main                 |CatalinaContainer             |I| Creating context [ar]
2019-08-26 09:36:06,917 |main                 |CatalinaContainer             |I| Creating context [accounting]
2019-08-26 09:36:06,917 |main                 |CatalinaContainer             |I| Creating context [manufacturing]
2019-08-26 09:36:06,917 |main                 |CatalinaContainer             |I| Creating context [facility]
2019-08-26 09:36:06,917 |main                 |CatalinaContainer             |I| Creating context [catalog]
2019-08-26 09:36:06,917 |main                 |CatalinaContainer             |I| Creating context [ical]
2019-08-26 09:36:06,917 |main                 |CatalinaContainer             |I| Creating context [workeffort]
2019-08-26 09:36:06,917 |main                 |CatalinaContainer             |I| Creating context [contentimages]
2019-08-26 09:36:06,917 |main                 |CatalinaContainer             |I| Creating context [content]
2019-08-26 09:36:06,917 |main                 |CatalinaContainer             |I| Creating context [party]
2019-08-26 09:36:06,917 |main                 |CatalinaContainer             |I| Creating context [tomahawk]
2019-08-26 09:36:06,917 |main                 |CatalinaContainer             |I| Creating context [rainbowstone]
2019-08-26 09:36:06,917 |main                 |CatalinaContainer             |I| Creating context [flatgrey]
2019-08-26 09:36:06,917 |main                 |CatalinaContainer             |I| Creating context [images]
2019-08-26 09:36:06,917 |main                 |CatalinaContainer             |I| Creating context [common-theme]
2019-08-26 09:36:06,917 |main                 |CatalinaContainer             |I| Creating context [bluelight]
2019-08-26 09:36:06,917 |main                 |CatalinaContainer             |I| Creating context [webtools]
2019-08-26 09:36:07,179 |main                 |ContainerLoader               |I| Loaded container: catalina-container
2019-08-26 09:36:07,179 |main                 |ContainerLoader               |I| [Startup] Starting containers...
2019-08-26 09:36:07,179 |main                 |ContainerLoader               |I| Starting container component-container
2019-08-26 09:36:07,179 |main                 |ContainerLoader               |I| Started container component-container
2019-08-26 09:36:07,179 |main                 |ContainerLoader               |I| Starting container delegator-container
2019-08-26 09:36:07,188 |delegator-startup-1  |DelegatorFactoryImpl          |I| Creating new delegator [default] (delegator-startup-1)
2019-08-26 09:36:07,846 |delegator-startup-1  |ModelViewEntity               |W| [TestingCryptoRawView]: Conversion for complex-alias needs to be implemented for cache and in-memory eval stuff to work correctly, will not work for alias: rawEncryptedValue
2019-08-26 09:36:07,847 |delegator-startup-1  |ModelViewEntity               |W| [TestingCryptoRawView]: Conversion for complex-alias needs to be implemented for cache and in-memory eval stuff to work correctly, will not work for alias: rawSaltedEncryptedValue
2019-08-26 09:36:07,910 |delegator-startup-1  |ModelViewEntity               |W| [OrderItemQuantityReportGroupByItem]: Conversion for complex-alias needs to be implemented for cache and in-memory eval stuff to work correctly, will not work for alias: quantityOrdered
2019-08-26 09:36:07,911 |delegator-startup-1  |ModelViewEntity               |W| [OrderItemQuantityReportGroupByItem]: Conversion for complex-alias needs to be implemented for cache and in-memory eval stuff to work correctly, will not work for alias: quantityOpen
2019-08-26 09:36:07,911 |delegator-startup-1  |ModelViewEntity               |W| [OrderItemQuantityReportGroupByProduct]: Conversion for complex-alias needs to be implemented for cache and in-memory eval stuff to work correctly, will not work for alias: quantityOrdered
2019-08-26 09:36:07,911 |delegator-startup-1  |ModelViewEntity               |W| [OrderItemQuantityReportGroupByProduct]: Conversion for complex-alias needs to be implemented for cache and in-memory eval stuff to work correctly, will not work for alias: quantityOpen
2019-08-26 09:36:07,914 |delegator-startup-1  |ModelViewEntity               |W| [OrderReportSalesGroupByProduct]: Conversion for complex-alias needs to be implemented for cache and in-memory eval stuff to work correctly, will not work for alias: quantityOrdered
2019-08-26 09:36:07,914 |delegator-startup-1  |ModelViewEntity               |W| [OrderReportSalesGroupByProduct]: Conversion for complex-alias needs to be implemented for cache and in-memory eval stuff to work correctly, will not work for alias: amount
2019-08-26 09:36:07,917 |delegator-startup-1  |ModelViewEntity               |W| [OrderItemAndShipGrpInvResAndItemSum]: Conversion for complex-alias needs to be implemented for cache and in-memory eval stuff to work correctly, will not work for alias: quantityOrdered
