2019-08-23 11:51:34,049 |delegator-startup-1  |ModelViewEntity               |W| [OrderItemAndShipGrpInvResAndItemSum]: Conversion for complex-alias needs to be implemented for cache and in-memory eval stuff to work correctly, will not work for alias: totQuantityAvailable
2019-08-23 11:51:34,079 |delegator-startup-1  |ModelReader                   |I| Finished loading entities; #Entities=844 #ViewEntities=271 #Fields=8838 #Relationships=2905 #AutoRelationships=2140
2019-08-23 11:51:34,085 |delegator-startup-1  |GenericDelegator              |I| Doing entity definition check...
2019-08-23 11:51:34,087 |delegator-startup-1  |ModelEntityChecker            |I| [initReservedWords] array length = 1025
2019-08-23 11:51:34,150 |OFBiz-batch-1        |GenericDelegator              |I| Delegator "default" initializing helper "localpostgres" for entity group "org.apache.ofbiz".
2019-08-23 11:51:34,155 |OFBiz-batch-1        |GenericDelegator              |I| Doing database check as requested in entityengine.xml with addMissing=true
2019-08-23 11:51:34,163 |OFBiz-batch-2        |GenericDelegator              |I| Delegator "default" initializing helper "localderbytenant" for entity group "org.apache.ofbiz.tenant".
2019-08-23 11:51:34,165 |OFBiz-batch-2        |GenericDelegator              |I| Doing database check as requested in entityengine.xml with addMissing=true
2019-08-23 11:51:34,414 |OFBiz-batch-1        |DatabaseUtil                  |I| Database Product Name is PostgreSQL
2019-08-23 11:51:34,414 |OFBiz-batch-1        |DatabaseUtil                  |I| Database Product Version is 10.10 (Ubuntu 10.10-0ubuntu0.18.04.1)
2019-08-23 11:51:34,415 |OFBiz-batch-1        |DatabaseUtil                  |I| Database Driver Name is PostgreSQL JDBC Driver
2019-08-23 11:51:34,415 |OFBiz-batch-1        |DatabaseUtil                  |I| Database Driver Version is 42.1.1
2019-08-23 11:51:34,415 |OFBiz-batch-1        |DatabaseUtil                  |I| Database Driver JDBC Version is 4.2
2019-08-23 11:51:34,415 |OFBiz-batch-1        |DatabaseUtil                  |I| Database Setting/Support Information (those with a * should be true):
2019-08-23 11:51:34,415 |OFBiz-batch-1        |DatabaseUtil                  |I| - supports transactions     [true]*
2019-08-23 11:51:34,415 |OFBiz-batch-1        |DatabaseUtil                  |I| - isolation None            [false]
2019-08-23 11:51:34,415 |OFBiz-batch-1        |DatabaseUtil                  |I| - isolation ReadCommitted   [true]
2019-08-23 11:51:34,416 |OFBiz-batch-1        |DatabaseUtil                  |I| - isolation ReadUncommitted [true]
2019-08-23 11:51:34,416 |OFBiz-batch-1        |DatabaseUtil                  |I| - isolation RepeatableRead  [true]
2019-08-23 11:51:34,416 |OFBiz-batch-1        |DatabaseUtil                  |I| - isolation Serializable    [true]
2019-08-23 11:51:34,416 |OFBiz-batch-1        |DatabaseUtil                  |I| - forward only type         [true]
2019-08-23 11:51:34,416 |OFBiz-batch-1        |DatabaseUtil                  |I| - scroll sensitive type     [false]
2019-08-23 11:51:34,416 |OFBiz-batch-1        |DatabaseUtil                  |I| - scroll insensitive type   [true]
2019-08-23 11:51:34,416 |OFBiz-batch-1        |DatabaseUtil                  |I| - is case sensitive         [false]
2019-08-23 11:51:34,417 |OFBiz-batch-1        |DatabaseUtil                  |I| - stores LowerCase          [true]
2019-08-23 11:51:34,417 |OFBiz-batch-1        |DatabaseUtil                  |I| - stores MixedCase          [false]
2019-08-23 11:51:34,417 |OFBiz-batch-1        |DatabaseUtil                  |I| - stores UpperCase          [false]
2019-08-23 11:51:34,419 |OFBiz-batch-1        |DatabaseUtil                  |I| - max table name length     [63]
2019-08-23 11:51:34,421 |OFBiz-batch-1        |DatabaseUtil                  |I| - max column name length    [63]
2019-08-23 11:51:34,421 |OFBiz-batch-1        |DatabaseUtil                  |I| - concurrent connections    [8192]
2019-08-23 11:51:34,422 |OFBiz-batch-1        |DatabaseUtil                  |I| - concurrent statements     [0]
