2019-09-03 11:02:34,987 |main                 |ServiceContainer              |I| Created new dispatcher: ical
2019-09-03 11:02:35,003 |main                 |ServiceDispatcher             |I| Registering dispatcher: sfa
2019-09-03 11:02:35,003 |main                 |ServiceContainer              |I| Created new dispatcher: sfa
2019-09-03 11:02:35,003 |main                 |ControlServlet                |I| Loading webapp [sfa], located at /home/sudhir/Documents/patanjali-nepal/applications/marketing/webapp/sfa/
2019-09-03 11:02:35,013 |main                 |ConfigXMLReader               |I| controller loaded: 0.001s, 55 requests, 36 views in file:/home/sudhir/Documents/patanjali-nepal/applications/marketing/webapp/sfa/WEB-INF/controller.xml
2019-09-03 11:02:35,045 |main                 |ServiceDispatcher             |I| Registering dispatcher: accounts
2019-09-03 11:02:35,045 |main                 |ServiceContainer              |I| Created new dispatcher: accounts
2019-09-03 11:02:35,045 |main                 |ControlServlet                |I| Loading webapp [accounts], located at /home/sudhir/Documents/patanjali-nepal/plugins/accounts/webapp/accounts/
2019-09-03 11:02:35,054 |main                 |ConfigXMLReader               |I| controller loaded: 0.0s, 7 requests, 4 views in file:/home/sudhir/Documents/patanjali-nepal/plugins/accounts/webapp/accounts/WEB-INF/controller.xml
2019-09-03 11:02:35,068 |main                 |ServiceDispatcher             |I| Registering dispatcher: facility
2019-09-03 11:02:35,068 |main                 |ServiceContainer              |I| Created new dispatcher: facility
2019-09-03 11:02:35,068 |main                 |ControlServlet                |I| Loading webapp [facility], located at /home/sudhir/Documents/patanjali-nepal/applications/product/webapp/facility/
2019-09-03 11:02:35,086 |main                 |ConfigXMLReader               |I| controller loaded: 0.004s, 241 requests, 93 views in file:/home/sudhir/Documents/patanjali-nepal/applications/product/webapp/facility/WEB-INF/controller.xml
2019-09-03 11:02:35,110 |main                 |ServiceDispatcher             |I| Registering dispatcher: partymgr
2019-09-03 11:02:35,110 |main                 |ServiceContainer              |I| Created new dispatcher: partymgr
2019-09-03 11:02:35,111 |main                 |ControlServlet                |I| Loading webapp [partymgr], located at /home/sudhir/Documents/patanjali-nepal/applications/party/webapp/partymgr/
2019-09-03 11:02:35,137 |main                 |CatalinaContainer             |I| Connector AJP/1.3 @ 8009 - not-secure [org.apache.coyote.ajp.AjpNioProtocol] started.
2019-09-03 11:02:35,137 |main                 |CatalinaContainer             |I| Connector HTTP/1.1 @ 8080 - not-secure [org.apache.coyote.http11.Http11NioProtocol] started.
2019-09-03 11:02:35,137 |main                 |CatalinaContainer             |I| Connector HTTP/1.1 @ 8443 - secure [org.apache.coyote.http11.Http11NioProtocol] started.
2019-09-03 11:02:35,137 |main                 |CatalinaContainer             |I| Started Apache Tomcat/9.0.16
2019-09-03 11:02:35,137 |main                 |ContainerLoader               |I| Started container catalina-container
2019-09-03 11:02:35,282 |OFBiz-JobPoller      |JobManager                    |I| No crashed jobs to re-schedule
2019-09-03 11:02:42,917 |jsse-nio-8443-exec-5 |ControlServlet                |T| [[[ServiceList(Domain:https://localhost)] Request Begun, encoding=[UTF-8]- total:0.0,since last(Begin):0.0]]
2019-09-03 11:02:42,990 |jsse-nio-8443-exec-5 |RequestHandler                |I| Rendering View [ServiceList].  Hidden sessionId by default.
2019-09-03 11:02:43,000 |jsse-nio-8443-exec-5 |AbstractEngine                |I| Loaded Service Locations: {eedcc-test=https://localhost:8443/webtools/control/httpService, entity-sync-http=https://localhost:8443/webtools/control/httpService, rita-rmi=rmi://localhost:1099/RMIDispatcher, main-rmi=rmi://localhost:1099/RMIDispatcher, main-soap=http://localhost:8080/webtools/control/SOAPService, entity-sync-rmi=rmi://localhost:1099/RMIDispatcher, main-http=http://localhost:8080/webtools/control/httpService}
2019-09-03 11:02:43,088 |jsse-nio-8443-exec-5 |ServiceDispatcher             |T| Sync service [webtools/getUserPreferenceGroup] finished in [91] milliseconds
2019-09-03 11:02:43,516 |jsse-nio-8443-exec-5 |FreeMarkerWorker              |I| loading properties: file:/home/sudhir/Documents/patanjali-nepal/framework/webapp/config/freemarkerTransforms.properties
2019-09-03 11:02:43,517 |jsse-nio-8443-exec-5 |FreeMarkerWorker              |I| loading properties: file:/home/sudhir/Documents/patanjali-nepal/framework/widget/config/freemarkerTransforms.properties
2019-09-03 11:02:43,517 |jsse-nio-8443-exec-5 |FreeMarkerWorker              |I| loading properties: file:/home/sudhir/Documents/patanjali-nepal/applications/content/config/freemarkerTransforms.properties
2019-09-03 11:02:43,518 |jsse-nio-8443-exec-5 |FreeMarkerWorker              |I| loading properties: file:/home/sudhir/Documents/patanjali-nepal/applications/product/config/freemarkerTransforms.properties
2019-09-03 11:02:43,522 |jsse-nio-8443-exec-5 |ScriptUtil                    |I| The following 2 scripting engines were found:
2019-09-03 11:02:43,522 |jsse-nio-8443-exec-5 |ScriptUtil                    |I| Engine name: Oracle Nashorn
2019-09-03 11:02:43,523 |jsse-nio-8443-exec-5 |ScriptUtil                    |I|   Version: 1.8.0_181
2019-09-03 11:02:43,523 |jsse-nio-8443-exec-5 |ScriptUtil                    |I|   Language: ECMAScript
2019-09-03 11:02:43,523 |jsse-nio-8443-exec-5 |ScriptUtil                    |I|   Engine supports the following extensions:
2019-09-03 11:02:43,523 |jsse-nio-8443-exec-5 |ScriptUtil                    |I|     js
2019-09-03 11:02:43,523 |jsse-nio-8443-exec-5 |ScriptUtil                    |I|   Engine has the following short names:
2019-09-03 11:02:43,523 |jsse-nio-8443-exec-5 |ScriptUtil                    |I|     nashorn
2019-09-03 11:02:43,523 |jsse-nio-8443-exec-5 |ScriptUtil                    |I|     Nashorn
2019-09-03 11:02:43,523 |jsse-nio-8443-exec-5 |ScriptUtil                    |I|     js
2019-09-03 11:02:43,523 |jsse-nio-8443-exec-5 |ScriptUtil                    |I|     JS
2019-09-03 11:02:43,523 |jsse-nio-8443-exec-5 |ScriptUtil                    |I|     JavaScript
2019-09-03 11:02:43,523 |jsse-nio-8443-exec-5 |ScriptUtil                    |I|     javascript
2019-09-03 11:02:43,523 |jsse-nio-8443-exec-5 |ScriptUtil                    |I|     ECMAScript
2019-09-03 11:02:43,523 |jsse-nio-8443-exec-5 |ScriptUtil                    |I|     ecmascript
2019-09-03 11:02:43,523 |jsse-nio-8443-exec-5 |ScriptUtil                    |I| Engine name: Groovy Scripting Engine
2019-09-03 11:02:43,523 |jsse-nio-8443-exec-5 |ScriptUtil                    |I|   Version: 2.0
2019-09-03 11:02:43,523 |jsse-nio-8443-exec-5 |ScriptUtil                    |I|   Language: Groovy
2019-09-03 11:02:43,523 |jsse-nio-8443-exec-5 |ScriptUtil                    |I|   Engine supports the following extensions:
2019-09-03 11:02:43,523 |jsse-nio-8443-exec-5 |ScriptUtil                    |I|     groovy
2019-09-03 11:02:43,523 |jsse-nio-8443-exec-5 |ScriptUtil                    |I|   Engine has the following short names:
2019-09-03 11:02:43,523 |jsse-nio-8443-exec-5 |ScriptUtil                    |I|     groovy
2019-09-03 11:02:43,523 |jsse-nio-8443-exec-5 |ScriptUtil                    |I|     Groovy
2019-09-03 11:02:43,742 |jsse-nio-8443-exec-5 |ScreenFactory                 |I| Got 12 screens in 0.284s from: file:/home/sudhir/Documents/patanjali-nepal/framework/webtools/widget/ServiceScreens.xml
2019-09-03 11:02:44,356 |jsse-nio-8443-exec-5 |UtilProperties                |I| ResourceBundle WebtoolsUiLabels (en_US) created in 0.067s with 515 properties
2019-09-03 11:02:44,478 |jsse-nio-8443-exec-5 |UtilProperties                |I| ResourceBundle CommonUiLabels (en_US) created in 0.114s with 921 properties
2019-09-03 11:02:44,720 |jsse-nio-8443-exec-5 |ScreenFactory                 |I| Got 11 screens in 0.023s from: file:/home/sudhir/Documents/patanjali-nepal/framework/webtools/widget/CommonScreens.xml
2019-09-03 11:02:44,751 |jsse-nio-8443-exec-5 |UtilProperties                |I| ResourceBundle TemporalExpressionUiLabels (en_US) created in 0.029s with 24 properties
2019-09-03 11:02:44,789 |jsse-nio-8443-exec-5 |UtilProperties                |I| ResourceBundle SecurityUiLabels (en_US) created in 0.037s with 58 properties
2019-09-03 11:02:45,072 |jsse-nio-8443-exec-5 |ScreenFactory                 |I| Got 28 screens in 0.268s from: file:/home/sudhir/Documents/patanjali-nepal/framework/common/widget/CommonScreens.xml
2019-09-03 11:02:45,282 |jsse-nio-8443-exec-5 |ScreenFactory                 |I| Got 27 screens in 0.084s from: file:/home/sudhir/Documents/patanjali-nepal/themes/common-theme/widget/CommonScreens.xml
2019-09-03 11:02:45,673 |jsse-nio-8443-exec-5 |ConfigXMLReader               |I| controller loaded: 0.002s, 113 requests, 78 views in file:/home/sudhir/Documents/patanjali-nepal/framework/webtools/webapp/webtools/WEB-INF/controller.xml
2019-09-03 11:02:45,687 |jsse-nio-8443-exec-5 |ConfigXMLReader               |I| controller loaded: 0.001s, 51 requests, 23 views in file:/home/sudhir/Documents/patanjali-nepal/framework/common/webcommon/WEB-INF/common-controller.xml
2019-09-03 11:02:45,709 |jsse-nio-8443-exec-5 |ConfigXMLReader               |I| controller loaded: 0.0s, 0 requests, 0 views in file:/home/sudhir/Documents/patanjali-nepal/framework/common/webcommon/WEB-INF/handlers-controller.xml
2019-09-03 11:02:45,728 |jsse-nio-8443-exec-5 |ConfigXMLReader               |I| controller loaded: 0.0s, 26 requests, 10 views in file:/home/sudhir/Documents/patanjali-nepal/framework/common/webcommon/WEB-INF/portal-controller.xml
2019-09-03 11:02:45,745 |jsse-nio-8443-exec-5 |ConfigXMLReader               |I| controller loaded: 0.001s, 30 requests, 13 views in file:/home/sudhir/Documents/patanjali-nepal/framework/common/webcommon/WEB-INF/security-controller.xml
2019-09-03 11:02:45,778 |jsse-nio-8443-exec-5 |ConfigXMLReader               |I| controller loaded: 0.001s, 5 requests, 0 views in file:/home/sudhir/Documents/patanjali-nepal/framework/common/webcommon/WEB-INF/tempexpr-controller.xml
2019-09-03 11:02:45,981 |jsse-nio-8443-exec-5 |ModelService                  |I| Set default value [SECURITY] for parameter [primaryPermission]
2019-09-03 11:02:46,330 |jsse-nio-8443-exec-5 |Log                           |W| [CommonPermissionServices.xml#genericBasePermissionCheck line 59] This simple-method-call is deprecated! Please use a service-call of genericBasePermissionCheck instead.
2019-09-03 11:02:46,445 |jsse-nio-8443-exec-5 |ServiceDispatcher             |T| Sync service [webtools/genericBasePermissionCheck] finished in [108] milliseconds
2019-09-03 11:02:46,482 |jsse-nio-8443-exec-5 |UtilProperties                |I| ResourceBundle DefaultMessagesUiLabels (en_US) created in 0.037s with 11 properties
2019-09-03 11:02:46,485 |jsse-nio-8443-exec-5 |ServiceDispatcher             |T| Sync service [webtools/securityPermissionCheck] finished in [504] milliseconds
2019-09-03 11:02:47,786 |jsse-nio-8443-exec-5 |ServerHitBin                  |I| Visit delegatorName=default, ServerHitBin delegatorName=default
2019-09-03 11:02:47,810 |jsse-nio-8443-exec-5 |ControlServlet                |T| [[[ServiceList(Domain:https://localhost)] Request Done- total:4.892,since last([ServiceList(Doma...):4.892]]
2019-09-03 11:02:55,165 |jsse-nio-8443-exec-1 |ControlServlet                |T| [[[ServiceList(Domain:https://localhost)] Request Begun, encoding=[UTF-8]- total:0.0,since last(Begin):0.0]]
2019-09-03 11:02:55,171 |jsse-nio-8443-exec-1 |RequestHandler                |I| Rendering View [ServiceList].  Hidden sessionId by default.
2019-09-03 11:02:55,182 |jsse-nio-8443-exec-1 |ScreenFactory                 |I| Got 12 screens in 0.006s from: file:/home/sudhir/Documents/patanjali-nepal/framework/webtools/widget/ServiceScreens.xml
2019-09-03 11:02:55,476 |jsse-nio-8443-exec-1 |ScreenFactory                 |I| Got 11 screens in 0.005s from: file:/home/sudhir/Documents/patanjali-nepal/framework/webtools/widget/CommonScreens.xml
2019-09-03 11:02:55,484 |jsse-nio-8443-exec-1 |ScreenFactory                 |I| Got 28 screens in 0.005s from: file:/home/sudhir/Documents/patanjali-nepal/framework/common/widget/CommonScreens.xml
2019-09-03 11:02:55,536 |jsse-nio-8443-exec-1 |ScreenFactory                 |I| Got 27 screens in 0.007s from: file:/home/sudhir/Documents/patanjali-nepal/themes/common-theme/widget/CommonScreens.xml
2019-09-03 11:02:55,600 |jsse-nio-8443-exec-1 |ModelService                  |I| Set default value [SECURITY] for parameter [primaryPermission]
2019-09-03 11:02:55,608 |jsse-nio-8443-exec-1 |Log                           |W| [CommonPermissionServices.xml#genericBasePermissionCheck line 59] This simple-method-call is deprecated! Please use a service-call of genericBasePermissionCheck instead.
2019-09-03 11:02:55,609 |jsse-nio-8443-exec-1 |ServiceDispatcher             |T| Sync service [webtools/genericBasePermissionCheck] finished in [1] milliseconds
2019-09-03 11:02:55,613 |jsse-nio-8443-exec-1 |ServiceDispatcher             |T| Sync service [webtools/securityPermissionCheck] finished in [12] milliseconds
2019-09-03 11:02:55,749 |jsse-nio-8443-exec-1 |ConfigXMLReader               |I| controller loaded: 0.002s, 113 requests, 78 views in file:/home/sudhir/Documents/patanjali-nepal/framework/webtools/webapp/webtools/WEB-INF/controller.xml
2019-09-03 11:02:55,783 |jsse-nio-8443-exec-1 |ConfigXMLReader               |I| controller loaded: 0.001s, 51 requests, 23 views in file:/home/sudhir/Documents/patanjali-nepal/framework/common/webcommon/WEB-INF/common-controller.xml
2019-09-03 11:02:55,801 |jsse-nio-8443-exec-1 |ConfigXMLReader               |I| controller loaded: 0.001s, 0 requests, 0 views in file:/home/sudhir/Documents/patanjali-nepal/framework/common/webcommon/WEB-INF/handlers-controller.xml
2019-09-03 11:02:55,817 |jsse-nio-8443-exec-1 |ConfigXMLReader               |I| controller loaded: 0.0s, 26 requests, 10 views in file:/home/sudhir/Documents/patanjali-nepal/framework/common/webcommon/WEB-INF/portal-controller.xml
2019-09-03 11:02:55,837 |jsse-nio-8443-exec-1 |ConfigXMLReader               |I| controller loaded: 0.0s, 30 requests, 13 views in file:/home/sudhir/Documents/patanjali-nepal/framework/common/webcommon/WEB-INF/security-controller.xml
2019-09-03 11:02:55,855 |jsse-nio-8443-exec-1 |ConfigXMLReader               |I| controller loaded: 0.001s, 5 requests, 0 views in file:/home/sudhir/Documents/patanjali-nepal/framework/common/webcommon/WEB-INF/tempexpr-controller.xml
2019-09-03 11:02:55,892 |jsse-nio-8443-exec-1 |ServerHitBin                  |I| Visit delegatorName=default, ServerHitBin delegatorName=default
2019-09-03 11:02:55,923 |jsse-nio-8443-exec-1 |ControlServlet                |T| [[[ServiceList(Domain:https://localhost)] Request Done- total:0.758,since last([ServiceList(Doma...):0.758]]
2019-09-03 11:03:00,129 |sse-nio-8443-exec-10 |ControlServlet                |T| [[[ServiceList(Domain:https://localhost)] Request Begun, encoding=[UTF-8]- total:0.0,since last(Begin):0.0]]
2019-09-03 11:03:00,134 |sse-nio-8443-exec-10 |RequestHandler                |I| Rendering View [ServiceList].  Hidden sessionId by default.
2019-09-03 11:03:00,192 |sse-nio-8443-exec-10 |ModelService                  |I| Set default value [SECURITY] for parameter [primaryPermission]
2019-09-03 11:03:00,202 |sse-nio-8443-exec-10 |Log                           |W| [CommonPermissionServices.xml#genericBasePermissionCheck line 59] This simple-method-call is deprecated! Please use a service-call of genericBasePermissionCheck instead.
2019-09-03 11:03:00,241 |sse-nio-8443-exec-10 |ServiceDispatcher             |T| Sync service [webtools/genericBasePermissionCheck] finished in [35] milliseconds
2019-09-03 11:03:00,242 |sse-nio-8443-exec-10 |ServiceDispatcher             |T| Sync service [webtools/securityPermissionCheck] finished in [50] milliseconds
2019-09-03 11:03:00,331 |sse-nio-8443-exec-10 |ServerHitBin                  |I| Visit delegatorName=default, ServerHitBin delegatorName=default
2019-09-03 11:03:00,346 |sse-nio-8443-exec-10 |ControlServlet                |T| [[[ServiceList(Domain:https://localhost)] Request Done- total:0.216,since last([ServiceList(Doma...):0.216]]
