2019-08-23 11:57:52,100 |main                 |ServiceDispatcher             |T| Sync service [entity-default/indexProductKeywords] finished in [3] milliseconds
2019-08-23 11:57:52,101 |main                 |EntityEcaRule                 |I| Running Entity ECA Service: indexProductKeywords, triggered by rule on Entity: Product
2019-08-23 11:57:52,104 |main                 |ServiceDispatcher             |T| Sync service [entity-default/indexProductKeywords] finished in [3] milliseconds
2019-08-23 11:57:52,105 |main                 |EntityEcaRule                 |I| Running Entity ECA Service: indexProductKeywords, triggered by rule on Entity: Product
2019-08-23 11:57:52,107 |main                 |ServiceDispatcher             |T| Sync service [entity-default/indexProductKeywords] finished in [2] milliseconds
2019-08-23 11:57:52,108 |main                 |EntityEcaRule                 |I| Running Entity ECA Service: indexProductKeywords, triggered by rule on Entity: Product
2019-08-23 11:57:52,110 |main                 |ServiceDispatcher             |T| Sync service [entity-default/indexProductKeywords] finished in [2] milliseconds
2019-08-23 11:57:52,111 |main                 |EntityEcaRule                 |I| Running Entity ECA Service: indexProductKeywords, triggered by rule on Entity: Product
2019-08-23 11:57:52,114 |main                 |ServiceDispatcher             |T| Sync service [entity-default/indexProductKeywords] finished in [2] milliseconds
2019-08-23 11:57:52,114 |main                 |EntityEcaRule                 |I| Running Entity ECA Service: indexProductKeywords, triggered by rule on Entity: Product
2019-08-23 11:57:52,116 |main                 |ServiceDispatcher             |T| Sync service [entity-default/indexProductKeywords] finished in [2] milliseconds
2019-08-23 11:57:52,117 |main                 |EntityEcaRule                 |I| Running Entity ECA Service: indexProductKeywords, triggered by rule on Entity: Product
2019-08-23 11:57:52,119 |main                 |ServiceDispatcher             |T| Sync service [entity-default/indexProductKeywords] finished in [2] milliseconds
2019-08-23 11:57:52,120 |main                 |EntityEcaRule                 |I| Running Entity ECA Service: indexProductKeywords, triggered by rule on Entity: Product
2019-08-23 11:57:52,122 |main                 |ServiceDispatcher             |T| Sync service [entity-default/indexProductKeywords] finished in [2] milliseconds
2019-08-23 11:57:52,122 |main                 |EntityEcaRule                 |I| Running Entity ECA Service: indexProductKeywords, triggered by rule on Entity: Product
2019-08-23 11:57:52,124 |main                 |ServiceDispatcher             |T| Sync service [entity-default/indexProductKeywords] finished in [2] milliseconds
2019-08-23 11:57:52,125 |main                 |EntityEcaRule                 |I| Running Entity ECA Service: indexProductKeywords, triggered by rule on Entity: Product
2019-08-23 11:57:52,127 |main                 |ServiceDispatcher             |T| Sync service [entity-default/indexProductKeywords] finished in [2] milliseconds
2019-08-23 11:57:52,128 |main                 |EntityEcaRule                 |I| Running Entity ECA Service: indexProductKeywords, triggered by rule on Entity: Product
2019-08-23 11:57:52,131 |main                 |ServiceDispatcher             |T| Sync service [entity-default/indexProductKeywords] finished in [3] milliseconds
2019-08-23 11:57:52,132 |main                 |EntityEcaRule                 |I| Running Entity ECA Service: indexProductKeywords, triggered by rule on Entity: Product
2019-08-23 11:57:52,134 |main                 |ServiceDispatcher             |T| Sync service [entity-default/indexProductKeywords] finished in [2] milliseconds
2019-08-23 11:57:52,135 |main                 |EntityEcaRule                 |I| Running Entity ECA Service: indexProductKeywords, triggered by rule on Entity: Product
2019-08-23 11:57:52,136 |main                 |ServiceDispatcher             |T| Sync service [entity-default/indexProductKeywords] finished in [1] milliseconds
2019-08-23 11:57:52,137 |main                 |EntityEcaRule                 |I| Running Entity ECA Service: indexProductKeywords, triggered by rule on Entity: Product
2019-08-23 11:57:52,140 |main                 |ServiceDispatcher             |T| Sync service [entity-default/indexProductKeywords] finished in [3] milliseconds
2019-08-23 11:57:52,141 |main                 |EntityEcaRule                 |I| Running Entity ECA Service: indexProductKeywords, triggered by rule on Entity: Product
2019-08-23 11:57:52,144 |main                 |ServiceDispatcher             |T| Sync service [entity-default/indexProductKeywords] finished in [3] milliseconds
2019-08-23 11:57:52,144 |main                 |EntityEcaRule                 |I| Running Entity ECA Service: indexProductKeywords, triggered by rule on Entity: Product
2019-08-23 11:57:52,147 |main                 |ServiceDispatcher             |T| Sync service [entity-default/indexProductKeywords] finished in [3] milliseconds
2019-08-23 11:57:52,148 |main                 |EntityEcaRule                 |I| Running Entity ECA Service: indexProductKeywords, triggered by rule on Entity: Product
2019-08-23 11:57:52,151 |main                 |ServiceDispatcher             |T| Sync service [entity-default/indexProductKeywords] finished in [3] milliseconds
2019-08-23 11:57:52,152 |main                 |EntityEcaRule                 |I| Running Entity ECA Service: indexProductKeywords, triggered by rule on Entity: Product
2019-08-23 11:57:52,154 |main                 |ServiceDispatcher             |T| Sync service [entity-default/indexProductKeywords] finished in [2] milliseconds
2019-08-23 11:57:52,155 |main                 |EntityEcaRule                 |I| Running Entity ECA Service: indexProductKeywords, triggered by rule on Entity: Product
2019-08-23 11:57:52,157 |main                 |ServiceDispatcher             |T| Sync service [entity-default/indexProductKeywords] finished in [2] milliseconds
2019-08-23 11:57:52,158 |main                 |EntityEcaRule                 |I| Running Entity ECA Service: indexProductKeywords, triggered by rule on Entity: Product
2019-08-23 11:57:52,161 |main                 |ServiceDispatcher             |T| Sync service [entity-default/indexProductKeywords] finished in [3] milliseconds
2019-08-23 11:57:52,162 |main                 |EntityEcaRule                 |I| Running Entity ECA Service: indexProductKeywords, triggered by rule on Entity: Product
2019-08-23 11:57:52,164 |main                 |ServiceDispatcher             |T| Sync service [entity-default/indexProductKeywords] finished in [2] milliseconds
2019-08-23 11:57:52,165 |main                 |EntityEcaRule                 |I| Running Entity ECA Service: indexProductKeywords, triggered by rule on Entity: Product
2019-08-23 11:57:52,167 |main                 |ServiceDispatcher             |T| Sync service [entity-default/indexProductKeywords] finished in [2] milliseconds
2019-08-23 11:57:52,168 |main                 |EntityEcaRule                 |I| Running Entity ECA Service: indexProductKeywords, triggered by rule on Entity: Product
2019-08-23 11:57:52,173 |main                 |ServiceDispatcher             |T| Sync service [entity-default/indexProductKeywords] finished in [5] milliseconds
2019-08-23 11:57:52,174 |main                 |EntityEcaRule                 |I| Running Entity ECA Service: indexProductKeywords, triggered by rule on Entity: Product
2019-08-23 11:57:52,177 |main                 |ServiceDispatcher             |T| Sync service [entity-default/indexProductKeywords] finished in [3] milliseconds
2019-08-23 11:57:52,178 |main                 |EntityEcaRule                 |I| Running Entity ECA Service: indexProductKeywords, triggered by rule on Entity: Product
2019-08-23 11:57:52,181 |main                 |ServiceDispatcher             |T| Sync service [entity-default/indexProductKeywords] finished in [3] milliseconds
2019-08-23 11:57:52,181 |main                 |EntityEcaRule                 |I| Running Entity ECA Service: indexProductKeywords, triggered by rule on Entity: Product
2019-08-23 11:57:52,184 |main                 |ServiceDispatcher             |T| Sync service [entity-default/indexProductKeywords] finished in [3] milliseconds
2019-08-23 11:57:52,185 |main                 |EntityEcaRule                 |I| Running Entity ECA Service: indexProductKeywords, triggered by rule on Entity: Product
2019-08-23 11:57:52,188 |main                 |ServiceDispatcher             |T| Sync service [entity-default/indexProductKeywords] finished in [3] milliseconds
2019-08-23 11:57:52,189 |main                 |EntityEcaRule                 |I| Running Entity ECA Service: indexProductKeywords, triggered by rule on Entity: Product
2019-08-23 11:57:52,191 |main                 |ServiceDispatcher             |T| Sync service [entity-default/indexProductKeywords] finished in [2] milliseconds
2019-08-23 11:57:52,192 |main                 |EntityEcaRule                 |I| Running Entity ECA Service: indexProductKeywords, triggered by rule on Entity: Product
2019-08-23 11:57:52,195 |main                 |ServiceDispatcher             |T| Sync service [entity-default/indexProductKeywords] finished in [3] milliseconds
2019-08-23 11:57:52,195 |main                 |EntityEcaRule                 |I| Running Entity ECA Service: indexProductKeywords, triggered by rule on Entity: Product
2019-08-23 11:57:52,198 |main                 |ServiceDispatcher             |T| Sync service [entity-default/indexProductKeywords] finished in [3] milliseconds
2019-08-23 11:57:52,199 |main                 |EntityEcaRule                 |I| Running Entity ECA Service: indexProductKeywords, triggered by rule on Entity: Product
2019-08-23 11:57:52,201 |main                 |ServiceDispatcher             |T| Sync service [entity-default/indexProductKeywords] finished in [2] milliseconds
2019-08-23 11:57:52,202 |main                 |EntityEcaRule                 |I| Running Entity ECA Service: indexProductKeywords, triggered by rule on Entity: Product
2019-08-23 11:57:52,205 |main                 |ServiceDispatcher             |T| Sync service [entity-default/indexProductKeywords] finished in [3] milliseconds
2019-08-23 11:57:52,205 |main                 |EntityEcaRule                 |I| Running Entity ECA Service: indexProductKeywords, triggered by rule on Entity: Product
2019-08-23 11:57:52,208 |main                 |ServiceDispatcher             |T| Sync service [entity-default/indexProductKeywords] finished in [3] milliseconds
2019-08-23 11:57:52,208 |main                 |EntityEcaRule                 |I| Running Entity ECA Service: indexProductKeywords, triggered by rule on Entity: Product
2019-08-23 11:57:52,211 |main                 |ServiceDispatcher             |T| Sync service [entity-default/indexProductKeywords] finished in [3] milliseconds
2019-08-23 11:57:52,212 |main                 |EntityEcaRule                 |I| Running Entity ECA Service: indexProductKeywords, triggered by rule on Entity: Product
2019-08-23 11:57:52,214 |main                 |ServiceDispatcher             |T| Sync service [entity-default/indexProductKeywords] finished in [2] milliseconds
2019-08-23 11:57:52,215 |main                 |EntityEcaRule                 |I| Running Entity ECA Service: indexProductKeywords, triggered by rule on Entity: Product
2019-08-23 11:57:52,217 |main                 |ServiceDispatcher             |T| Sync service [entity-default/indexProductKeywords] finished in [2] milliseconds
2019-08-23 11:57:52,217 |main                 |EntityEcaRule                 |I| Running Entity ECA Service: indexProductKeywords, triggered by rule on Entity: Product
