2019-11-16 17:01:02,225 |jsse-nio-8443-exec-3 |CategoryServices              |E| null
2019-11-16 17:01:42,035 |kJoinPool-1-worker-0 |UtilXml                       |E| XmlFileLoader: File /home/sudhir/Pictures/PBRI-Ofbiz-pro-upload/applications/party/servicedef/services.xml process error. Line: 469. Error message: cvc-datatype-valid.1.2.1: 'ture' is not a valid value for 'boolean'.
2019-11-16 17:01:42,035 |kJoinPool-1-worker-0 |UtilXml                       |E| XmlFileLoader: File /home/sudhir/Pictures/PBRI-Ofbiz-pro-upload/applications/party/servicedef/services.xml process error. Line: 469. Error message: cvc-attribute.3: The value 'ture' of attribute 'optional' on element 'override' is not valid with respect to its type, 'boolean'.
2019-11-16 17:02:03,535 |jsse-nio-8443-exec-7 |CategoryServices              |E| null
2019-11-16 17:02:08,233 |sse-nio-8443-exec-10 |CategoryServices              |E| null
2019-11-16 17:02:39,761 |jsse-nio-8443-exec-1 |CategoryServices              |E| null
2019-11-16 17:02:45,859 |jsse-nio-8443-exec-5 |CategoryServices              |E| null
2019-11-16 17:06:28,385 |jsse-nio-8443-exec-3 |CategoryServices              |E| null
2019-11-16 17:06:33,358 |jsse-nio-8443-exec-2 |CategoryServices              |E| null
2019-11-16 17:08:23,692 |jsse-nio-8443-exec-5 |CategoryServices              |E| null
2019-11-16 17:08:26,204 |jsse-nio-8443-exec-2 |CategoryServices              |E| null
2019-11-16 17:11:05,203 |jsse-nio-8443-exec-3 |CategoryServices              |E| null
2019-11-16 17:11:08,262 |jsse-nio-8443-exec-1 |CategoryServices              |E| null
2019-11-16 17:12:33,038 |sse-nio-8443-exec-14 |CategoryServices              |E| null
2019-11-16 17:18:52,277 |kJoinPool-1-worker-0 |UtilXml                       |E| XmlFileLoader: File /home/sudhir/Pictures/PBRI-Ofbiz-pro-upload/applications/party/servicedef/services.xml process error. Line: 469. Error message: cvc-datatype-valid.1.2.1: 'ture' is not a valid value for 'boolean'.
2019-11-16 17:18:52,278 |kJoinPool-1-worker-0 |UtilXml                       |E| XmlFileLoader: File /home/sudhir/Pictures/PBRI-Ofbiz-pro-upload/applications/party/servicedef/services.xml process error. Line: 469. Error message: cvc-attribute.3: The value 'ture' of attribute 'optional' on element 'override' is not valid with respect to its type, 'boolean'.
2019-11-16 17:19:22,199 |jsse-nio-8443-exec-8 |CategoryServices              |E| null
2019-11-16 17:21:15,379 |jsse-nio-8443-exec-8 |CategoryServices              |E| null
2019-11-16 17:22:06,139 |jsse-nio-8443-exec-5 |CategoryServices              |E| null
2019-11-16 17:22:38,974 |jsse-nio-8443-exec-6 |CategoryServices              |E| null
2019-11-16 18:26:24,299 |kJoinPool-1-worker-3 |UtilXml                       |E| XmlFileLoader: File /home/sudhir/Pictures/PBRI-Ofbiz-pro-upload/applications/party/servicedef/services.xml process error. Line: 469. Error message: cvc-datatype-valid.1.2.1: 'ture' is not a valid value for 'boolean'.
2019-11-16 18:26:24,304 |kJoinPool-1-worker-3 |UtilXml                       |E| XmlFileLoader: File /home/sudhir/Pictures/PBRI-Ofbiz-pro-upload/applications/party/servicedef/services.xml process error. Line: 469. Error message: cvc-attribute.3: The value 'ture' of attribute 'optional' on element 'override' is not valid with respect to its type, 'boolean'.
2019-11-16 18:27:18,108 |sse-nio-8443-exec-11 |CategoryServices              |E| null
2019-11-16 18:27:23,479 |jsse-nio-8443-exec-6 |CategoryServices              |E| null
2019-11-16 18:27:39,292 |jsse-nio-8443-exec-2 |CategoryServices              |E| null
2019-11-16 18:27:43,718 |jsse-nio-8443-exec-6 |CategoryServices              |E| null
2019-11-16 18:27:46,844 |jsse-nio-8443-exec-8 |CategoryServices              |E| null
2019-11-16 18:33:21,690 |sse-nio-8443-exec-12 |CategoryServices              |E| null
